Timestamp	Bar plot 1	Bar plot 2	Bar plot 3	Bar plot 4	Bar plot 5	Shifted Bar plot 1	Shifted Bar plot 2	Shifted Bar plot 3	Shifted Bar plot 4	Shifted Bar plot 5	Circle plot 1	Circle plot 2	Circle plot 3	Circle plot 4	Circle plot 5	Pie chart 1	Pie chart 2	Pie chart 3	Pie chart 4	Pie chart 5	Color chart 1	Color chart 2	Color chart 3	Color chart 4	Color chart 5
4/20/2016 11:25:40	10	65	25	80	55	55	20	95	27	100	70	12.5	85	8	17	80	33	100	7	100	100	50	20	10	100
4/20/2016 11:25:46	10	60	20	80	55	60	20	90	20	100	60	20	90	10	20	25	25	60	5	35	100	50	20	0	70
4/20/2016 11:25:48	10	70	25	80	60	60	20	90	25	100	75	25	90	15	30	65	20	100	5	100	100	70	40	20	85
4/20/2016 11:25:53	9	66	22	80	58	62	18	90	23	100	80	40	88	25	50	45	15	90	5	100	100	75	50	30	80
4/20/2016 11:25:57	10	70	20	80	60	60	15	100	20	20	90	16	88	80	20	75	33	100	5	90	100	60	30	20	75
4/20/2016 11:25:59	10	33	25	85	66	60	20	95		25	50	10	60	5	20	80	25	90	10	99	90	60	30	10	78
4/20/2016 11:25:59	10	66	20	80	50	60	20	90	25	100	75	15	90	9	25	60	25	90	5	100	100	60	30	5	90
4/20/2016 11:25:59	10	70	25	80	60	60	15	90	25	95	60	10	100	4	10	90	20	100	1	100	100	60	25	5	66
4/20/2016 11:26:06	10	66	25	80	55	60	15	90	20	95	80	20	90	10	30	75	25	100	10	100	100	75	25	10	90
4/20/2016 11:26:07	10	60	25	80	55	60	20	42	25	50	80	20	80	10	30	90	25	85	5	100	100	50	25	10	60
4/20/2016 11:26:07	10	65	1	80	30	55	15	95	20	100	80	20	95	10	15	80	25	90	10	100	100	60	30	10	90
4/20/2016 11:26:10	10	60	25	75	55	60	20	85	25	100	85	60	90	10	25	50	35	65	10	100	100	40	30	15	50
4/20/2016 11:26:19	10	60	20	80	60	60	15	95	25	100	75	15	85	10	20	70	25	90	8	100	100	75	40	15	95
4/20/2016 11:26:23	13	65	20	80	55	65	20	90	25	100	75	20	90	10	30	60	30	95	10	100	100	80	80	20	10
4/20/2016 11:26:32	12.5	66	25	80	60	60	25	85	22	97	70	20	90	10	30	70	25	95	5	100	100	50	20	10	70
4/20/2016 11:26:37	10	70	20	80	60	60	15	90	20	100	75	15	85	5	20	85	40	90	10	100	85	60	25	5	70
4/20/2016 11:26:37	10	66	20	80	60	66	15	90	20	100	66	15	85	10	25	60	25	90	5	100	100	60	30	10	80
4/20/2016 11:26:37	10	65	25	80	60	65	20	90	25	95	75	15	90	8	15	85	35	90	10	100	100	75	25	15	95
4/20/2016 11:26:38	10	70	20	80	50	50	20	90	30	100	80	30	90	10	20	70	20	90	5	100	100	80	60	40	100
4/20/2016 11:26:39	10	60	20	80	55	55	20	90	25	100	40	20	50	10	20	90	25	90	5	100	100	60	40	10	90
4/20/2016 11:26:42	10	60	25	75	55	60	20	95	25	100	80	40	100	20	40	66	33	85	5	100	100	60	20	10	80
4/20/2016 11:26:42	10	60	20	80	55	60	15	85		25	85	15	95	8	20	25	13	30	2	40	95	90	10	5	85
4/20/2016 11:26:45	10	70	15	80	55	60	12	90	18	98	70	15	90	10	25	66	20	100	5	100	100	70	30	10	100
4/20/2016 11:26:45	10	70	25	80	60	70	20	90	25	100	80	30	90	10	25	60	20	80	5	100	100	60	30	10	90
4/20/2016 11:26:47	5	60	20	60	55	55	15	95	20	100	60	10	80	5	15	95	30	90	5	100	90	50	10	5	100
4/20/2016 11:26:48	10	60	20	80	55	60	15	90	25	100	90	20	66	10	15	33	25	100	5	100	1	100	100	100	100
4/20/2016 11:26:48	15	65	25	80	60	60	20	85	20	95	80	15	90	15	20	70	16	95	10	100	100	60	30	10	70
4/20/2016 11:26:48	10	70	20	80	55	60	13	95	19	100	75	16	92	5	45	77	25	85	2	100	100	77	33	4	82
4/20/2016 11:26:49	10	60	20	80	70	55	10	100	20	100	60	20	80	5	20	70	20	100	5	100	100	70	60	20	80
4/20/2016 11:26:53	15	40	25	80	53	60	15	95	20	100	75	25	95	10	15	50	30	80	5	100	100	50	25	10	90
4/20/2016 11:26:53	20	70	30	80	55	60	15	90	30	99	80	20	90	10	20	90	30	95	10	100	100	50	20	10	5
4/20/2016 11:26:57	10	70	25	80	55	60	20	90	20	95	90	35	95	5	25	50	25	90	5	100	100	60	40	20	80
4/20/2016 11:27:01	10	65	20	80	58	60	15	90	20	100	80	15	95	5	20	85	25	100	5	92	100	70	45	25	75
4/20/2016 11:27:03	10	66	20	80	55	55	10	90	20	100	90	10	95	10	20	60	25	90	7	100	100	80	50	20	90
4/20/2016 11:27:03	10	65	30	85	75	50	15	95	20	100	90	10	97	5	10	60	35	90	10	100	100	75	25	10	85
4/20/2016 11:27:04	10	70	20	80	60	60	20	90	25	95	80	20	85	10	25	90	20	100	9	100	100	75	30	10	85
4/20/2016 11:27:06	10	65	35	80	55	60	23	95	18	100	85	20	95	10	22	95	20	100	10	100	95	80	50	20	90
4/20/2016 11:27:09	10	65	30	70	18	50	60	20	80	80	30	80	90	10	30	80	40	90	3	100	100	80	60	30	70
4/20/2016 11:27:15	10	60	30	70	5	60	20	90	30	100	1.5	6	1.1	11	7	80	20	1	5	1	0	0.8	0.4	0.2	1
4/20/2016 11:27:34	12.5	66.7	25	75	60	65	20	63	25	97	75	25	60	10	20	75	20	100	2.5	100	100	60	45	10	75
4/20/2016 11:27:44	10	67	20	80	60	60	20	90	20	100	75	20	80	10	25	60	25	90	5	100	100	50	30	10	80
4/20/2016 11:27:58	10	70	25	80	55	60	20	80	25	80	80	20	95	10	30	25	10	33	2	66	95	70	20	10	87
4/20/2016 11:28:12	10	70	25	80	60	65	20	90	30	95	70	20	85	5	25	70	20	90	3	100	100	50	25	10	80
4/20/2016 11:28:15	10	65	25	80	55	60	15	90	25	100	80	25	90	20	50	80	20	100	10	100	100	50	25	10	90
