Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
34,32,2016-01-04,27-296,GSW,,CHO,W (+10),1,31:51,12,21,.571,5,10,.500,1,1,1.000,0,3,3,4,2,0,2,4,30,22.2,+1,45.3
35,33,2016-01-05,27-297,GSW,@,LAL,W (+21),1,26:08,6,13,.462,4,8,.500,1,1,1.000,1,0,1,6,3,0,3,2,17,14.4,+28,33.8
36,34,2016-01-08,27-300,GSW,@,POR,W (+20),1,28:50,8,18,.444,4,11,.364,6,6,1.000,0,3,3,9,1,0,1,2,26,23.0,+22,46.8
37,35,2016-01-09,27-301,GSW,@,SAC,W (+12),1,37:54,12,21,.571,8,14,.571,6,7,.857,1,5,6,11,1,1,4,3,38,34.1,+16,69.5
38,36,2016-01-11,27-303,GSW,,MIA,W (+8),1,37:34,11,27,.407,4,11,.364,5,6,.833,0,2,2,6,1,0,1,2,31,20.1,-3,46.0
39,37,2016-01-13,27-305,GSW,@,DEN,L (-2),1,39:48,13,25,.520,5,12,.417,7,7,1.000,2,3,5,9,3,1,8,1,38,29.6,-4,64.3
40,38,2016-01-14,27-306,GSW,,LAL,W (+18),1,29:31,9,18,.500,8,16,.500,0,0,,2,4,6,3,1,0,3,3,26,18.5,+14,42.5
41,39,2016-01-16,27-308,GSW,@,DET,L (-18),1,36:55,13,26,.500,7,15,.467,5,6,.833,1,6,7,5,2,0,2,1,38,30.2,+2,60.8
42,40,2016-01-18,27-310,GSW,@,CLE,W (+34),1,28:03,12,18,.667,7,12,.583,4,4,1.000,2,3,5,4,3,0,1,3,35,33.1,+34,56.3
43,41,2016-01-20,27-312,GSW,@,CHI,W (+31),1,33:45,8,18,.444,3,9,.333,6,6,1.000,1,6,7,11,2,1,2,2,25,25.7,+36,58.3
44,42,2016-01-22,27-314,GSW,,IND,W (+12),1,36:49,11,19,.579,8,15,.533,9,9,1.000,2,8,10,12,1,0,2,1,39,40.9,+22,79.0
45,43,2016-01-25,27-317,GSW,,SAS,W (+30),1,28:21,12,20,.600,6,9,.667,7,7,1.000,1,1,2,3,5,0,1,0,37,34.9,+23,56.5
46,44,2016-01-27,27-319,GSW,,DAL,W (+20),1,31:48,4,11,.364,3,7,.429,3,3,1.000,1,1,2,9,3,1,0,2,14,18.1,+26,39.5
47,45,2016-01-30,27-322,GSW,@,PHI,W (+3),1,34:12,9,19,.474,5,11,.455,0,0,,2,3,5,6,1,2,8,3,23,13.0,+8,42.8
48,46,2016-01-31,27-323,GSW,@,NYK,W (+21),1,31:59,5,17,.294,3,11,.273,0,0,,0,4,4,4,3,0,3,1,13,6.7,+10,30.0
49,47,2016-02-03,27-326,GSW,@,WAS,W (+13),1,35:41,19,28,.679,11,15,.733,2,3,.667,1,6,7,2,3,0,7,3,51,37.3,+20,70.8
50,48,2016-02-06,27-329,GSW,,OKC,W (+8),1,37:42,10,26,.385,1,9,.111,5,5,1.000,1,5,6,10,3,0,3,2,26,20.2,+3,55.0
51,49,2016-02-09,27-332,GSW,,HOU,W (+13),1,37:41,12,24,.500,7,16,.438,4,4,1.000,1,4,5,9,1,0,1,2,35,30.4,+3,59.8
52,50,2016-02-10,27-333,GSW,@,PHO,W (+8),1,30:06,9,17,.529,5,10,.500,3,4,.750,5,4,9,9,1,1,2,1,26,27.6,+12,56.3
53,51,2016-02-19,27-342,GSW,@,POR,L (-32),1,26:18,12,23,.522,7,13,.538,0,0,,2,1,3,5,2,0,3,4,31,22.3,-18,48.3
54,52,2016-02-20,27-343,GSW,@,LAC,W (+3),1,35:30,5,15,.333,3,8,.375,10,12,.833,0,3,3,9,3,0,3,2,23,20.1,+4,46.3
55,53,2016-02-22,27-345,GSW,@,ATL,W (+10),1,35:48,14,22,.636,5,11,.455,3,3,1.000,1,5,6,8,3,0,2,2,36,34.2,+13,63.0
56,54,2016-02-24,27-347,GSW,@,MIA,W (+6),1,35:35,14,29,.483,6,12,.500,8,8,1.000,3,4,7,7,1,1,7,0,42,30.2,+7,64.8
57,55,2016-02-25,27-348,GSW,@,ORL,W (+16),1,34:02,20,27,.741,10,15,.667,1,1,1.000,0,7,7,8,0,1,5,1,51,43.1,+11,76.3
58,56,2016-02-27,27-350,GSW,@,OKC,W (+3),1,37:41,14,24,.583,12,16,.750,6,8,.750,0,3,3,6,2,0,3,1,46,37.7,+6,67.3
(+15),1,37:11,12,25,.480,5,15,.333,4,5,.800,1,3,4,4,1,1,1,2,33,24.2,+7,50.0
61,58,2016-03-06,27-358,GSW,@,LAL,L (-17),1,34:17,6,20,.300,1,10,.100,5,5,1.000,1,5,6,4,1,0,4,2,18,7.6,,32.0
